iter	Passed	Remaining
0	1	167
1	3	167
2	4	153
3	5	141
4	7	133
5	8	126
6	9	123
7	10	122
8	11	119
9	12	114
10	15	127
11	16	123
12	17	119
13	18	116
14	19	112
15	20	110
16	22	108
17	23	104
18	24	102
19	24	99
20	25	96
21	27	96
22	29	97
23	30	95
24	31	95
25	33	94
26	34	92
27	35	90
28	36	89
29	37	87
30	38	85
31	39	84
32	40	82
33	42	81
34	43	80
35	44	79
36	45	77
37	46	76
38	47	74
39	48	72
40	49	70
41	50	69
42	50	67
43	51	65
44	52	63
45	53	62
46	53	60
47	55	59
48	55	58
49	57	57
50	58	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	69	41
63	71	39
64	72	38
65	73	38
66	75	37
67	76	36
68	77	34
69	78	33
70	79	32
71	80	31
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	103	3
97	105	2
98	106	1
99	107	0
